"id","example","intent_id"
341,"How to apply for a new connection BRPL",12
342,"Why my new connection application is rejected BRPL",12
343,"New connection applying BRPL",12
344,"I want New Connection Application BRPL",12
345,"Need New Connection Application BRPL",12
346,"Connection application BRPL",12
384,"नया आवेदन BRPL",14
386,"नया कनेक्शन फॉर्म BRPL",14
387,"नया बिजली कनेक्शन आवेदन BRPL",14
388,"बिजली कनेक्शन के लिए आवेदन BRPL",14
389,"नया कनेक्शन अप्लाई BRPL",14
390,"नया कनेक्शन के लिए फॉर्म BRPL",14
391,"मैं नया कनेक्शन आवेदन करना चाहता हूँ BRPL",14
392,"नया कनेक्शन लेने का आवेदन BRPL",14
393,"नए कनेक्शन के लिए आवेदन करने के लिए मुझे क्या चाहिए BRPL",14
394,"क्या आपके पास नए कनेक्शन का आवेदन है BRPL",14
395,"नए कनेक्शन के लिए किन दस्तावेज़ों की आवश्यकता है BRPL",14
396,"मैं नए कनेक्शन का आवेदन ढूंढ रहा हूँ BRPL",14
397,"नए कनेक्शन के आवेदन की प्रक्रिया क्या है BRPL",14
398,"नया कनेक्शन आवेदन BRPL",14
399,"नए कनेक्शन के लिए कौन से दस्तावेज़ देने होंगे BRPL",14
400,"मुझे नए कनेक्शन का आवेदन चाहिए BRPL",14
401,"मौजूदा कनेक्शन के साथ पहली मंज़िल के लिए नया कनेक्शन कैसे लें BRPL",14
403,"नए कनेक्शन के लिए आवेदन पत्र BRPL",14
404,"आवेदन पत्र BRPL",14
405,"नए कनेक्शन के लिए क्या आवश्यकताएं हैं BRPL",14
406,"नए कनेक्शन के लिए कौन से दस्तावेज़ चाहिए BRPL",14
407,"क्या आप नए कनेक्शन का आवेदन उपलब्ध कराते हैं BRPL",14
408,"मुझे नया कनेक्शन आवेदन कहाँ मिलेगा BRPL",14
409,"नया कनेक्शन आवेदन क्यों आवश्यक है BRPL",14
410,"नए कनेक्शन के लिए आवेदन कैसे करें BRPL",14
411,"मेरा नया कनेक्शन आवेदन क्यों अस्वीकार हुआ BRPL",14
413,"मुझे नया कनेक्शन आवेदन चाहिए BRPL",14
414,"कनेक्शन आवेदन BRPL",14
425,"Connect Virtually (BRPL) BRPL",16
426,"connect virtually (BRPL) BRPL",16
436,"वर्चुअली कनेक्ट करें (BRPL)",18
437,"वर्चुअली जुड़ें (BRPL) BRPL",18
438,"वर्चुअल कस्टमर केयर सेंटर BRPL",18
439,"वर्चुअली जुड़ें BRPL",18
440,"वर्चुअल ग्राहक सेवा BRPL",18
441,"ऑनलाइन ग्राहक सेवा BRPL",18
442,"डिजिटल ग्राहक सेवा BRPL",18
443,"वर्चुअल सेवा केंद्र BRPL",18
444,"ग्राहक सेवा केंद्र ऑनलाइन BRPL",18
445,"मैं वर्चुअल कस्टमर केयर से जुड़ना चाहता हूँ BRPL",18
447,"Prepaid Meter - Check Balance / Recharge BRPL",19
448,"prepaid meter - check balance / recharge BRPL",19
449,"prepaid meter - Check Balance / Recharge BRPL",19
450,"Check prepaid meter balance BRPL",19
451,"View prepaid meter balance BRPL",19
453,"Recharge my prepaid meter BRPL",19
454,"Prepaid meter top-up BRPL",19
455,"Add balance to prepaid meter BRPL",19
456,"Pay for prepaid meter recharge BRPL",19
457,"How to recharge prepaid meter BRPL",19
458,"Prepaid meter - see remaining balance / recharge BRPL",19
459,"Need to recharge prepaid meter BRPL",19
460,"Balance check and recharge for prepaid meter BRPL",19
461,"Prepaid meter payment BRPL",19
462,"Prepaid electricity meter recharge BRPL",19
463,"How to add money to prepaid meter BRPL",19
464,"Can you tell me The Recharge Of the Prepaid Meter BRPL",19
465,"need to know about Prepaid Meter Recharge BRPL",19
466,"Prepaid Meter Recharge how to do it BRPL",19
467,"How to check Prepaid Meter Recharge BRPL",19
468,"I want to Recharge of Prepaid meter BRPL",19
469,"what is a Prepaid Meter Recharge BRPL",19
470,"Where to do Prepaid Meter Recharge BRPL",19
471,"Prepaid Meter Recharge BRPL",19
472,"I need to Recharge Prepaid Meter BRPL",19
473,"What is the Cost of Recharge for Prepaid Meter BRPL",19
474,"How can I Recharge my Prepaid Meter BRPL",19
475,"How do I check my Prepaid Meter Recharge BRPL",19
476,"meter recharge BRPL",19
477,"prepaid recharge BRPL",19
482,"प्रीपेड मीटर - बैलेंस जांचें / रिचार्ज करें BRPL",20
483,"प्रीपेड मीटर - बैलेंस चेक करें / रिचार्ज करें BRPL",20
484,"प्रीपेड मीटर - शेष राशि देखें / रिचार्ज करें BRPL",20
485,"प्रीपेड मीटर का बैलेंस कैसे चेक करें BRPL",20
487,"प्रीपेड मीटर में बैलेंस जोड़ें BRPL",20
488,"प्रीपेड मीटर टॉप-अप करें BRPL",20
489,"प्रीपेड मीटर भुगतान करें BRPL",20
490,"प्रीपेड बिजली मीटर रिचार्ज करें BRPL",20
491,"प्रीपेड मीटर - बैलेंस देखें और रिचार्ज करें BRPL",20
493,"प्रीपेड मीटर में शेष राशि कैसे देखें BRPL",20
494,"प्रीपेड मीटर का बैलेंस और रिचार्ज विवरण BRPL",20
495,"प्रीपेड मीटर में पैसे डालें BRPL",20
496,"क्या आप मुझे प्रीपेड मीटर का रिचार्ज बता सकते हैं BRPL",20
497,"मुझे प्रीपेड मीटर रिचार्ज के बारे में जानना है BRPL",20
498,"प्रीपेड मीटर रिचार्ज कैसे करें BRPL",20
499,"प्रीपेड मीटर रिचार्ज कैसे चेक करें BRPL",20
500,"मैं प्रीपेड मीटर का रिचार्ज करना चाहता हूँ BRPL",20
501,"प्रीपेड मीटर रिचार्ज क्या है BRPL",20
502,"प्रीपेड मीटर रिचार्ज कहाँ करें BRPL",20
503,"प्रीपेड मीटर रिचार्ज BRPL",20
504,"मुझे प्रीपेड मीटर रिचार्ज करना है BRPL",20
505,"प्रीपेड मीटर रिचार्ज की लागत क्या है BRPL",20
506,"मैं अपना प्रीपेड मीटर कैसे रिचार्ज कर सकता हूँ BRPL",20
507,"मैं अपना प्रीपेड मीटर रिचार्ज कैसे चेक करूँ BRPL",20
508,"मीटर रिचार्ज BRPL",20
509,"प्रीपेड रिचार्ज BRPL",20
573,"restart",23
574,"start again",23
575,"let's start over",23
576,"can we begin again?",23
703,"Ca verified BRPL",24
704,"ca Verified BRPL",24
706,"CA VERIFIED BRPL",24
707,"Ca vERIFIED BRPL",24
708,"ca verified BRPL",24
710,"verified ca BRPL",24
711,"VERIFIED CA BRPL",24
712,"CA VALIDATED BRPL",24
713,"Ca vALIDATED BRPL",24
714,"ca validated BRPL",24
715,"validated ca BRPL",24
716,"VALIDATED CA BRPL",24
1063,"Otp verified BRPL",26
1064,"otp Verified BRPL",26
1067,"OTP VERIFIED BRPL",26
1068,"Otp vERIFIED BRPL",26
1069,"otp verified BRPL",26
1070,"verified otp BRPL",26
1071,"VERIFIED OTP BRPL",26
1072,"OTP VALIDATED BRPL",26
1073,"OTP validated BRPL",26
1074,"OTP valid BRPL",26
1075,"OTP VALID BRPL",26
1285,"New Connection Status BRPL",28
1287,"New connection Status BRPL",28
1288,"New Connection status BRPL",28
1289,"new Connection status BRPL",28
1293,"New status BRPL",28
1295,"Check new connection status BRPL",28
1296,"Status of my new connection BRPL",28
1297,"Track new connection BRPL",28
1298,"New connection progress BRPL",28
1299,"New connection update BRPL",28
1300,"Application status for new connection BRPL",28
1303,"New Status BRPL",28
1304,"new status BRPL",28
1305,"Status of my request BRPL",28
1306,"Connection status update BRPL",28
1307,"This is my order number and gives my information new connection status BRPL",28
1309,"How can I check my new connection status BRPL",28
1310,"Plz share my new connection status BRPL",28
1311,"please check my new connection status BRPL",28
1312,"what is the status of my new connection BRPL",28
1313,"what is my New Connection Status BRPL",28
1314,"Can you check my new connection status BRPL",28
1315,"I need the status of New connection BRPL",28
1316,"How do I know my New Connection Status BRPL",28
1317,"Please update on my new connection status BRPL",28
1318,"I want to know my New Connection Status BRPL",28
1319,"please update my New Connection Status BRPL",28
1320,"want to know my new connection status BRPL",28
1321,"what is status of my new connection BRPL",28
1322,"Can you tell me about my New Connection Status BRPL",28
1323,"need to check New Connection Status BRPL",28
1324,"How do I check my new connection status BRPL",28
1325,"How to check the status of a new connection BRPL",28
1326,"could you please tell me about new connection BRPL",28
1327,"I want new connection status BRPL",28
1328,"What is my New Meter Connection Status BRPL",28
1329,"about my new connection status BRPL",28
1330,"show me my connection status BRPL",28
1331,"new connection status BRPL",28
1332,"I have applied for a new connection now I want to check the status BRPL",28
1419,"order verified BRPL",30
1421,"Order verified BRPL",30
1422,"order Verified BRPL",30
1424,"verified order BRPL",30
1425,"ORDER VERIFIED BRPL",30
1426,"Order vERIFIED BRPL",30
1429,"VERIFIED ORDER BRPL",30
1479,"Upload document BRPL",32
1480,"Here is the document BRPL",32
1481,"I'm uploading the file BRPL",32
1482,"Submitting the required document BRPL",32
1483,"I have uploaded the file BRPL",32
1484,"Please find the attachment BRPL",32
1485,"Attached the documents BRPL",32
1486,"Uploading the document now BRPL",32
1487,"Document submitted BRPL",32
1488,"I’ve submitted the required papers BRPL",32
1489,"Sharing the required file BRPL",32
1490,"I am sending the document now BRPL",32
1491,"Here is the soft copy BRPL",32
1492,"Please check the uploaded document BRPL",32
1493,"File has been shared BRPL",32
1494,"Uploaded the necessary documents BRPL",32
1495,"Document upload is complete BRPL",32
1496,"Submitted my ID proof BRPL",32
1497,"Just submitted the documents you asked BRPL",32
1498,"The form is uploaded BRPL",32
1499,"Uploaded KYC documents BRPL",32
1500,"My document is attached here BRPL",32
1523,"नए कनेक्शन की स्थिति BRPL",34
1525,"नया कनेक्शन की स्थिति BRPL",34
1526,"नए की स्थिति BRPL",34
1527,"नया स्टेटस BRPL",34
1528,"नया की स्थिति BRPL",34
1529,"कनेक्शन स्टेटस बताएं BRPL",34
1530,"स्टेटस बताएं BRPL",34
1531,"नया कनेक्शन का स्टेटस चाहिए BRPL",34
1532,"मुझे नए कनेक्शन की जानकारी चाहिए BRPL",34
1534,"मैं अपने नए कनेक्शन की स्थिति कैसे जांच सकता हूँ BRPL",34
1535,"कृपया मेरा नया कनेक्शन स्टेटस बताएं BRPL",34
1536,"कृपया मेरे नए कनेक्शन की स्थिति जांचें BRPL",34
1538,"मेरा नया कनेक्शन स्टेटस क्या है BRPL",34
1539,"क्या आप मेरा नया कनेक्शन स्टेटस चेक कर सकते हैं BRPL",34
1540,"मुझे नए कनेक्शन की स्थिति चाहिए BRPL",34
1541,"मैं अपने नए कनेक्शन की स्थिति कैसे जानूं BRPL",34
1542,"कृपया मेरे नए कनेक्शन की स्थिति अपडेट करें BRPL",34
1543,"मैं अपने नए कनेक्शन की स्थिति जानना चाहता हूँ BRPL",34
1544,"कृपया मेरा नया कनेक्शन स्टेटस अपडेट करें BRPL",34
1545,"मुझे अपने नए कनेक्शन की स्थिति जाननी है BRPL",34
1546,"मेरे नए कनेक्शन की स्थिति क्या है BRPL",34
1547,"क्या आप मुझे मेरे नए कनेक्शन की स्थिति बता सकते हैं BRPL",34
1548,"नए कनेक्शन की स्थिति जांचनी है BRPL",34
1549,"मैं अपने नए कनेक्शन की स्थिति कैसे जांचूं BRPL",34
1550,"नए कनेक्शन की स्थिति कैसे जांचें BRPL",34
1551,"कृपया मुझे नए कनेक्शन के बारे में बताएं BRPL",34
1552,"मुझे नया कनेक्शन स्टेटस चाहिए BRPL",34
1553,"मेरे नए मीटर कनेक्शन की स्थिति क्या है BRPL",34
1554,"मेरे नए कनेक्शन की स्थिति के बारे में BRPL",34
1555,"मेरा कनेक्शन स्टेटस दिखाएं BRPL",34
1556,"नया कनेक्शन स्टेटस BRPL",34
1557,"मैंने नया कनेक्शन आवेदन किया है, अब मुझे उसकी स्थिति जांचनी है BRPL",34
1593,"दस्तावेज़ अपलोड करें BRPL",36
1594,"यह रहा दस्तावेज़ BRPL",36
1595,"मैं फाइल अपलोड कर रहा हूँ BRPL",36
1596,"आवश्यक दस्तावेज़ जमा कर रहा हूँ BRPL",36
1597,"मैंने फाइल अपलोड कर दी है BRPL",36
1598,"कृपया अटैचमेंट देखें BRPL",36
1599,"दस्तावेज़ संलग्न किए गए हैं BRPL",36
1600,"अब दस्तावेज़ अपलोड कर रहा हूँ BRPL",36
1601,"दस्तावेज़ जमा हो गए हैं BRPL",36
1602,"मैंने आवश्यक कागज़ात दे दिए हैं BRPL",36
1603,"जरूरी फाइल भेज रहा हूँ BRPL",36
1604,"मैं अभी दस्तावेज़ भेज रहा हूँ BRPL",36
1605,"यह रही सॉफ्ट कॉपी BRPL",36
1606,"कृपया अपलोड की गई फाइल देखें BRPL",36
1607,"फाइल साझा कर दी गई है BRPL",36
1608,"आवश्यक दस्तावेज़ अपलोड कर दिए हैं BRPL",36
1609,"दस्तावेज़ अपलोड पूरा हुआ BRPL",36
1610,"मैंने आईडी प्रूफ जमा कर दिया है BRPL",36
1611,"आपके द्वारा मांगे गए दस्तावेज़ अभी दिए हैं BRPL",36
1612,"फॉर्म अपलोड कर दिया गया है BRPL",36
1613,"केवाईसी दस्तावेज़ अपलोड किए गए हैं BRPL",36
1614,"मेरा दस्तावेज़ यहां संलग्न है BRPL",36
1637,"FAQs BRPL",38
1638,"FAQS BRPL",38
1639,"FAQ'S BRPL",38
1640,"faqs BRPL",38
1641,"faq BRPL",38
1642,"Frequently Asked Questions BRPL",38
1643,"Show FAQs BRPL",38
1644,"Where can I find FAQs BRPL",38
1645,"I want to see FAQs BRPL",38
1646,"Open FAQs BRPL",38
1647,"Help and FAQs BRPL",38
1648,"List of FAQs BRPL",38
1649,"Tell me FAQs BRPL",38
1650,"FAQs about services BRPL",38
1651,"FAQs for electricity connection BRPL",38
1652,"सामान्य प्रश्न (FAQs) BRPL",39
1653,"सामान्य प्रश्न FAQs BRPL",39
1654,"सामान्य प्रश्न faqs BRPL",39
1655,"सामान्य प्रश्न FAQS BRPL",39
1656,"सामान्य प्रश्न (FAQS) BRPL",39
1657,"अक्सर पूछे जाने वाले प्रश्न BRPL",39
1658,"सामान्य प्रश्न देखें BRPL",39
1659,"मुझे सामान्य प्रश्न दिखाएं BRPL",39
1660,"सामान्य प्रश्न खोलें BRPL",39
1661,"सेवाओं के सामान्य प्रश्न BRPL",39
1662,"बिजली कनेक्शन के सामान्य प्रश्न BRPL",39
1663,"हेल्प और सामान्य प्रश्न BRPL",39
1664,"FAQs दिखाएं BRPL",39
1693,"Change Language BRPL",42
1694,"Change language BRPL",42
1695,"change Language BRPL",42
1697,"Change Lang BRPL",42
1698,"Switch language BRPL",42
1699,"Set language BRPL",42
1700,"Change language to Hindi BRPL",42
1701,"Change language to English BRPL",42
1702,"I want to change the language BRPL",42
1703,"Can you change the language BRPL",42
1705,"Switch to English BRPL",42
1706,"Please change my language BRPL",42
1707,"Update language setting BRPL",42
1708,"Modify language preference BRPL",42
1709,"i don't understand this language BRPL",42
1710,"change language BRPL",42
1711,"i want to change my language BRPL",42
1712,"how can I change the language BRPL",42
1734,"भाषा बदलो BRPL",44
1735,"भाषा हिंदी करें BRPL",44
1736,"भाषा हिंदी में बदलें BRPL",44
1737,"हिन्दी भाषा चुनें BRPL",44
1738,"भाषा को हिंदी करें BRPL",44
1739,"भाषा अंग्रेज़ी करें BRPL",44
1740,"भाषा को अंग्रेज़ी में बदलें BRPL",44
1741,"मुझे हिंदी में चाहिए BRPL",44
1742,"मुझे अंग्रेज़ी में चाहिए BRPL",44
1743,"भाषा बदलना है BRPL",44
1744,"मेरी भाषा बदल दो BRPL",44
1745,"भाषा सेटिंग बदलो BRPL",44
1746,"भाषा परिवर्तन करें BRPL",44
1747,"कृपया भाषा बदलें BRPL",44
1748,"मुझे यह भाषा समझ नहीं आ रही है BRPL",44
1749,"भाषा बदलें BRPL",44
1750,"मैं अपनी भाषा बदलना चाहता हूँ BRPL",44
1751,"मैं भाषा कैसे बदल सकता हूँ BRPL",44
1771,"Visually Impaired BRPL",46
1773,"Visually impaired BRPL",46
1774,"visually Impaired BRPL",46
1775,"Visually BRPL",46
1776,"visually BRPL",46
1777,"Impaired BRPL",46
1778,"impaired BRPL",46
1779,"I am visually impaired BRPL",46
1780,"I am blind BRPL",46
1781,"I have low vision BRPL",46
1782,"Sight-impaired person BRPL",46
1783,"Help for visually impaired BRPL",46
1784,"Support for blind users BRPL",46
1785,"Assistance for low vision BRPL",46
1786,"Visually impaired customer BRPL",46
1787,"Services for blind people BRPL",46
1788,"I cannot see properly BRPL",46
1789,"Accessibility for visually impaired BRPL",46
1790,"Help Desk for Visually Impaired BRPL",46
1791,"visually impaired BRPL",46
1813,"दृष्टिबाधित सहायता BRPL",48
1815,"दृष्टि बाधित BRPL",48
1816,"दृष्टिहीन BRPL",48
1817,"नेत्रहीन BRPL",48
1818,"मैं दृष्टिबाधित हूँ BRPL",48
1819,"मैं दृष्टिहीन हूँ BRPL",48
1820,"दृष्टिबाधित व्यक्ति BRPL",48
1821,"दृष्टिहीन व्यक्ति BRPL",48
1822,"नेत्रहीन व्यक्ति BRPL",48
1823,"मैं नेत्रहीन हूँ BRPL",48
1824,"दृष्टिहीन सहायता BRPL",48
1825,"दृष्टिबाधित सहायता चाहिए BRPL",48
1826,"नेत्रहीन के लिए मदद BRPL",48
1827,"मैं देख नहीं सकता BRPL",48
1828,"मुझे देखने में दिक्कत है BRPL",48
1829,"दृष्टिबाधित ग्राहक BRPL",48
1830,"नेत्रहीन सेवा BRPL",48
1831,"दृष्टिहीन सेवा BRPL",48
1832,"विशेष सहायता दृष्टिबाधित के लिए BRPL",48
1833,"दृष्टिबाधितों के लिए हेल्प डेस्क BRPL",48
1834,"दृष्टिबाधित BRPL",48
2187,"Mobile verified BRPL",50
2188,"mobile Verified BRPL",50
2190,"MOBILE VERIFIED BRPL",50
2191,"Mobile vERIFIED BRPL",50
2192,"mobile verified BRPL",50
2194,"VERIFIED MOBILE BRPL",50
2195,"verified mobile BRPL",50
2535,"Meter Reading Schedule BRPL",52
2536,"meter reading schedule BRPL",52
2537,"Meter reading Schedule BRPL",52
2538,"What is the meter reading schedule BRPL",52
2539,"Tell me my meter reading schedule BRPL",52
2540,"When is the next meter reading BRPL",52
2541,"Date of meter reading BRPL",52
2542,"Time of meter reading BRPL",52
2543,"Meter reading timetable BRPL",52
2544,"When will my meter be read BRPL",52
2545,"Meter reading date and time BRPL",52
2546,"Please share meter reading schedule BRPL",52
2547,"I want to know my meter reading schedule BRPL",52
2548,"I m not going to pay the bill you are sending Bill without taking a meter reading BRPL",52
2549,"Can you explain to me about meter reading BRPL",52
2550,"help me to know about meter reading BRPL",52
2551,"Last reading BRPL",52
2552,"How can I send self reading of my meter BRPL",52
2553,"take my meter reading BRPL",52
2554,"I received my meter reading BRPL",52
2555,"self meter reading BRPL",52
2556,"There is no meter reading BRPL",52
2557,"about meter reading BRPL",52
2558,"want to add my mr BRPL",52
2559,"I want Meter reading and the amount BRPL",52
2560,"I want my full bill with meter reading BRPL",52
2561,"I am sending a meter reading kindly issue the bill BRPL",52
2562,"i want to check my MR BRPL",52
2563,"Today meter reading BRPL",52
2564,"Faulty meter reading BRPL",52
2565,"how to add my meter reading BRPL",52
2566,"i want to check my mr BRPL",52
2567,"meter reading BRPL",52
2568,"Please make bill according to this meter reading BRPL",52
2569,"Meter reading n request for load change BRPL",52
2570,"want to know about meter reading BRPL",52
2571,"Filed complaint about rechecking of Meter reading BRPL",52
2572,"Meter reading schedule BRPL",52
2573,"Please send the actual meter reading bill BRPL",52
2574,"could you please tell me about meter reading BRPL",52
2575,"What is the Date of meter reading BRPL",52
2576,"how can i know about meter reading BRPL",52
2577,"Recheck the meter reading and connection to ensure the bills BRPL",52
2578,"i want to check my meter reading BRPL",52
2579,"MR (Meter Reading) BRPL",52
2627,"मीटर रीडिंग का समय BRPL",54
2628,"मीटर रीडिंग कब होती है? BRPL",54
2629,"मीटर रीडिंग की जानकारी चाहिए BRPL",54
2630,"मीटर रीडिंग शेड्यूल बताएं BRPL",54
2631,"मीटर रीडिंग कब होगी BRPL",54
2632,"अगली मीटर रीडिंग की तारीख BRPL",54
2633,"मीटर रीडिंग का दिन BRPL",54
2634,"मीटर रीडिंग का टाइम BRPL",54
2635,"मीटर रीडिंग का टाइमटेबल BRPL",54
2636,"मीटर रीडिंग की डेट BRPL",54
2637,"कृपया मीटर रीडिंग शेड्यूल बताएं BRPL",54
2638,"मुझे मीटर रीडिंग की तारीख चाहिए BRPL",54
2639,"मैं बिल का भुगतान नहीं करने वाला हूँ, आप बिना मीटर रीडिंग लिए बिल भेज रहे हैं BRPL",54
2640,"क्या आप मुझे मीटर रीडिंग के बारे में समझा सकते हैं BRPL",54
2641,"कृपया मुझे मीटर रीडिंग के बारे में जानकारी दें BRPL",54
2642,"पिछली रीडिंग BRPL",54
2643,"मैं अपनी मीटर की सेल्फ रीडिंग कैसे भेज सकता हूँ BRPL",54
2644,"मेरी मीटर रीडिंग ले लीजिए BRPL",54
2645,"मुझे मेरी मीटर रीडिंग प्राप्त हुई है BRPL",54
2646,"सेल्फ मीटर रीडिंग BRPL",54
2647,"मीटर रीडिंग नहीं है BRPL",54
2648,"मीटर रीडिंग के बारे में BRPL",54
2649,"मैं अपनी मीटर रीडिंग जोड़ना चाहता हूँ BRPL",54
2650,"मैं मीटर रीडिंग और राशि चाहता हूँ BRPL",54
2651,"मैं पूरा बिल मीटर रीडिंग के साथ चाहता हूँ BRPL",54
2652,"मैं मीटर रीडिंग भेज रहा हूँ, कृपया बिल जारी करें BRPL",54
2654,"आज की मीटर रीडिंग BRPL",54
2655,"खराब मीटर रीडिंग BRPL",54
2656,"मैं अपनी मीटर रीडिंग कैसे जोड़ सकता हूँ BRPL",54
2658,"मीटर रीडिंग BRPL",54
2659,"कृपया इस मीटर रीडिंग के अनुसार बिल बनाइए BRPL",54
2660,"मीटर रीडिंग और लोड बदलने का अनुरोध BRPL",54
2661,"मीटर रीडिंग के बारे में जानना चाहता हूँ BRPL",54
2662,"मीटर रीडिंग की दोबारा जाँच के लिए शिकायत दर्ज की है BRPL",54
2663,"मीटर रीडिंग शेड्यूल BRPL",54
2664,"कृपया वास्तविक मीटर रीडिंग का बिल भेजें BRPL",54
2665,"क्या आप कृपया मीटर रीडिंग के बारे में बता सकते हैं BRPL",54
2666,"मीटर रीडिंग की तारीख क्या है BRPL",54
2667,"मैं मीटर रीडिंग के बारे में कैसे जान सकता हूँ BRPL",54
2668,"मीटर रीडिंग और कनेक्शन को दोबारा जाँचें ताकि बिल सही बने BRPL",54
2669,"मैं अपनी मीटर रीडिंग देखना चाहता हूँ BRPL",54
2670,"मीटर रीडिंग (MR) BRPL",54
2717,"Select Another CA number BRPL",56
2718,"Select Another CA Number BRPL",56
2719,"select another ca number BRPL",56
2720,"select another CA number BRPL",56
2721,"Select Another ca Number BRPL",56
2722,"I want to select another CA number BRPL",56
2723,"please select another CA number BRPL",56
