"id","story_id","intent","action"
194,59,NULL,"action_check_for_ca_number_english"
195,59,"provide_ca_number_yamuna",NULL
196,59,NULL,"action_validate_ca_number"
197,59,NULL,"action_send_otp"
198,59,NULL,"utter_ask_otp"
199,59,"provide_otp_yamuna",NULL
200,59,NULL,"action_validate_ca_number_otp"
201,60,"check_for_another_ca_number_english_yamuna",NULL
202,60,NULL,"action_check_for_ca_number_english"
203,60,"provide_ca_number_yamuna",NULL
204,60,NULL,"action_validate_ca_number"
205,60,NULL,"action_send_otp"
206,60,NULL,"utter_ask_otp"
207,60,"provide_otp_yamuna",NULL
208,60,NULL,"action_validate_ca_number_otp"
209,61,"check_for_another_ca_number_hindi_rajdhani",NULL
210,61,NULL,"action_check_for_ca_number_hindi"
211,61,"provide_ca_number_rajdhani",NULL
212,61,NULL,"action_select_another_ca_number_validate_hindi"
213,61,"provide_otp_rajdhani",NULL
214,61,NULL,"action_validate_ca_number_otp_hindi"
215,62,"check_for_another_ca_number_hindi_rajdhani",NULL
216,62,NULL,"action_check_for_ca_number_hindi"
217,62,"provide_ca_number_rajdhani",NULL
218,62,NULL,"action_select_another_ca_number_validate_hindi"
219,62,"provide_otp_rajdhani",NULL
220,62,NULL,"action_validate_ca_number_otp_hindi"
221,63,"check_for_another_ca_number_hindi_yamuna",NULL
222,63,NULL,"action_check_for_ca_number_hindi"
223,63,"provide_ca_number_yamuna",NULL
224,63,NULL,"action_select_another_ca_number_validate_hindi"
225,63,"provide_otp_yamuna",NULL
226,63,NULL,"action_validate_ca_number_otp_hindi"
227,64,"check_for_another_ca_number_hindi_yamuna",NULL
228,64,NULL,"action_check_for_ca_number_hindi"
229,64,"provide_ca_number_yamuna",NULL
230,64,NULL,"action_select_another_ca_number_validate_hindi"
231,64,"provide_otp_yamuna",NULL
232,64,NULL,"action_validate_ca_number_otp_hindi"
233,65,"payment_history_rajdhani",NULL
234,65,NULL,"action_payment_history_english"
235,66,"payment_history_yamuna",NULL
236,66,NULL,"action_payment_history_english"
237,67,"payment_history_rajdhani_hindi",NULL
238,67,NULL,"action_payment_history_hindi"
239,68,"payment_history_yamuna_hindi",NULL
240,68,NULL,"action_payment_history_hindi"
241,69,"bill_history_rajdhani",NULL
242,69,NULL,"action_bill_history_english"
243,70,"bill_history_yamuna",NULL
244,70,NULL,"action_bill_history_english"
245,71,"bill_history_rajdhani_hindi",NULL
246,71,NULL,"action_bill_history_hindi"
247,72,"bill_history_yamuna_hindi",NULL
248,72,NULL,"action_bill_history_hindi"
249,73,"payment_status_rajdhani",NULL
250,73,NULL,"action_check_for_payment_status_english"
251,74,"payment_status_yamuna",NULL
252,74,NULL,"action_check_for_payment_status_english"
253,75,"payment_status_rajdhani_hindi",NULL
254,75,NULL,"action_check_for_payment_status_hindi"
255,76,"payment_status_yamuna_hindi",NULL
256,76,NULL,"action_check_for_payment_status_hindi"
257,77,"consumption_history_rajdhani",NULL
258,77,NULL,"action_consumption_history_english"
259,78,"consumption_history_yamuna",NULL
260,78,NULL,"action_consumption_history_english"
261,79,"consumption_history_rajdhani_hindi",NULL
262,79,NULL,"action_consumption_history_hindi"
263,80,"consumption_history_yamuna_hindi",NULL
264,80,NULL,"action_consumption_history_hindi"
265,81,"streetlight_complaint_rajdhani",NULL
266,81,NULL,"action_streetlight_complaint_english"
267,82,"streetlight_complaint_yamuna",NULL
268,82,NULL,"action_streetlight_complaint_english"
269,83,"streetlight_complaint_rajdhani_hindi",NULL
270,83,NULL,"action_streetlight_complaint_hindi"
271,84,"streetlight_complaint_yamuna_hindi",NULL
272,84,NULL,"action_streetlight_complaint_hindi"
273,85,"streetlight_complaint_yamuna",NULL
274,85,NULL,"action_streetlight_complaint_english"
275,86,"streetlight_complaint_rajdhani",NULL
276,86,NULL,"action_streetlight_complaint_english"
277,87,"streetlight_complaint_yamuna_hindi",NULL
278,87,NULL,"action_streetlight_complaint_hindi"
279,88,"streetlight_complaint_rajdhani_hindi",NULL
280,88,NULL,"action_streetlight_complaint_hindi"
281,89,"branches_nearby_rajdhani",NULL
282,89,NULL,"action_branches_nearby_english"
283,89,"payment_centres_rajdhani",NULL
284,89,NULL,"action_branches_payment_centres_english"
285,89,"lang_long_rajdhani",NULL
286,89,NULL,"action_branches_lang_long"
287,90,"branches_nearby_rajdhani",NULL
288,90,NULL,"action_branches_nearby_english"
289,90,"payment_centres_rajdhani",NULL
290,90,NULL,"action_branches_payment_centres_english"
291,90,"lang_long_rajdhani",NULL
292,90,NULL,"action_branches_lang_long"
293,91,"branches_nearby_yamuna",NULL
294,91,NULL,"action_branches_nearby_english"
295,91,"payment_centres_yamuna",NULL
296,91,NULL,"action_branches_payment_centres_english"
297,91,"lang_long_yamuna",NULL
298,91,NULL,"action_branches_lang_long"
299,92,"branches_nearby_yamuna",NULL
300,92,NULL,"action_branches_nearby_english"
301,92,"payment_centres_yamuna",NULL
302,92,NULL,"action_branches_payment_centres_english"
303,92,"lang_long_yamuna",NULL
304,92,NULL,"action_branches_lang_long"
305,93,"branches_nearby_rajdhani_hindi",NULL
306,93,NULL,"action_branches_nearby_hindi"
307,93,"payment_centres_rajdhani_hindi",NULL
308,93,NULL,"action_branches_payment_centres_hindi"
309,93,"lang_long_rajdhani",NULL
310,93,NULL,"action_branches_lang_long_hindi"
311,94,"branches_nearby_rajdhani_hindi",NULL
312,94,NULL,"action_branches_nearby_hindi"
313,94,"payment_centres_rajdhani_hindi",NULL
314,94,NULL,"action_branches_payment_centres_hindi"
315,94,"lang_long_rajdhani",NULL
316,94,NULL,"action_branches_lang_long_hindi"
317,95,"branches_nearby_yamuna_hindi",NULL
318,95,NULL,"action_branches_nearby_hindi"
319,95,"payment_centres_yamuna_hindi",NULL
320,95,NULL,"action_branches_payment_centres_hindi"
321,95,"lang_long_yamuna",NULL
322,95,NULL,"action_branches_lang_long_hindi"
323,96,"branches_nearby_yamuna_hindi",NULL
324,96,NULL,"action_branches_nearby_hindi"
325,96,"payment_centres_yamuna_hindi",NULL
326,96,NULL,"action_branches_payment_centres_hindi"
327,96,"lang_long_yamuna",NULL
328,96,NULL,"action_branches_lang_long_hindi"
329,97,"branches_nearby_rajdhani",NULL
330,97,NULL,"action_branches_nearby_english"
331,97,"complaint_centres_rajdhani",NULL
332,97,NULL,"action_branches_payment_centres_english"
333,97,"lang_long_rajdhani",NULL
334,97,NULL,"action_branches_lang_long"
335,98,"branches_nearby_rajdhani",NULL
336,98,NULL,"action_branches_nearby_english"
337,98,"complaint_centres_rajdhani",NULL
338,98,NULL,"action_branches_payment_centres_english"
339,98,"lang_long_rajdhani",NULL
340,98,NULL,"action_branches_lang_long"
341,99,"branches_nearby_yamuna",NULL
342,99,NULL,"action_branches_nearby_english"
343,99,"complaint_centres_yamuna",NULL
344,99,NULL,"action_branches_payment_centres_english"
345,99,"lang_long_yamuna",NULL
346,99,NULL,"action_branches_lang_long"
347,100,"branches_nearby_yamuna",NULL
348,100,NULL,"action_branches_nearby_english"
349,100,"complaint_centres_yamuna",NULL
350,100,NULL,"action_branches_payment_centres_english"
351,100,"lang_long_yamuna",NULL
352,100,NULL,"action_branches_lang_long"
353,101,"branches_nearby_rajdhani_hindi",NULL
354,101,NULL,"action_branches_nearby_hindi"
355,101,"complaint_centres_rajdhani_hindi",NULL
356,101,NULL,"action_branches_payment_centres_hindi"
357,101,"lang_long_rajdhani",NULL
358,101,NULL,"action_branches_lang_long_hindi"
359,102,"branches_nearby_rajdhani_hindi",NULL
360,102,NULL,"action_branches_nearby_hindi"
361,102,"complaint_centres_rajdhani_hindi",NULL
362,102,NULL,"action_branches_payment_centres_hindi"
363,102,"lang_long_rajdhani",NULL
364,102,NULL,"action_branches_lang_long_hindi"
365,103,"branches_nearby_yamuna_hindi",NULL
366,103,NULL,"action_branches_nearby_hindi"
367,103,"complaint_centres_yamuna_hindi",NULL
368,103,NULL,"action_branches_payment_centres_hindi"
369,103,"lang_long_yamuna",NULL
370,103,NULL,"action_branches_lang_long_hindi"
371,104,"branches_nearby_yamuna_hindi",NULL
372,104,NULL,"action_branches_nearby_hindi"
373,104,"complaint_centres_yamuna_hindi",NULL
374,104,NULL,"action_branches_payment_centres_hindi"
375,104,"lang_long_yamuna",NULL
376,104,NULL,"action_branches_lang_long_hindi"
377,105,"opt_for_ebill_rajdhani",NULL
378,105,NULL,"action_opt_for_ebill_english"
379,105,"opt_for_ebill_email_rajdhani",NULL
380,105,NULL,"action_opt_for_ebill_email_english"
381,105,"opt_for_ebill_yes_rajdhani",NULL
382,105,NULL,"action_opt_for_ebill_registration_yes_english"
383,106,"opt_for_ebill_rajdhani_hindi",NULL
384,106,NULL,"action_opt_for_ebill_hindi"
385,106,"opt_for_ebill_email_rajdhani",NULL
386,106,NULL,"action_opt_for_ebill_email_hindi"
387,106,"opt_for_ebill_yes_rajdhani_hindi",NULL
388,106,NULL,"action_opt_for_ebill_registration_yes_hindi"
389,107,"opt_for_ebill_yamuna",NULL
390,107,NULL,"action_opt_for_ebill_english"
391,107,"opt_for_ebill_email_yamuna",NULL
392,107,NULL,"action_opt_for_ebill_email_english"
393,107,"opt_for_ebill_yes_yamuna",NULL
394,107,NULL,"action_opt_for_ebill_registration_yes_english"
395,108,"opt_for_ebill_yamuna_hindi",NULL
396,108,NULL,"action_opt_for_ebill_hindi"
397,108,"opt_for_ebill_email_yamuna",NULL
398,108,NULL,"action_opt_for_ebill_email_hindi"
399,108,"opt_for_ebill_yes_yamuna_hindi",NULL
400,108,NULL,"action_opt_for_ebill_registration_yes_hindi"
401,109,"opt_for_ebill_rajdhani",NULL
402,109,NULL,"action_opt_for_ebill_english"
403,109,"opt_for_ebill_yes_rajdhani",NULL
404,109,NULL,"action_opt_for_ebill_existing_email_english"
405,109,"opt_for_ebill_yes_rajdhani",NULL
406,109,NULL,"action_opt_for_ebill_registration_yes_english"
407,110,"opt_for_ebill_rajdhani_hindi",NULL
408,110,NULL,"action_opt_for_ebill_hindi"
409,110,"opt_for_ebill_yes_rajdhani_hindi",NULL
410,110,NULL,"action_opt_for_ebill_existing_email_hindi"
411,110,"opt_for_ebill_yes_rajdhani_hindi",NULL
412,110,NULL,"action_opt_for_ebill_registration_yes_hindi"
413,111,"opt_for_ebill_yamuna",NULL
414,111,NULL,"action_opt_for_ebill_english"
415,111,"opt_for_ebill_yes_yamuna",NULL
416,111,NULL,"action_opt_for_ebill_existing_email_english"
417,111,"opt_for_ebill_yes_yamuna",NULL
418,111,NULL,"action_opt_for_ebill_registration_yes_english"
419,112,"opt_for_ebill_yamuna_hindi",NULL
420,112,NULL,"action_opt_for_ebill_hindi"
421,112,"opt_for_ebill_yes_yamuna_hindi",NULL
422,112,NULL,"action_opt_for_ebill_existing_email_hindi"
423,112,"opt_for_ebill_yes_yamuna_hindi",NULL
424,112,NULL,"action_opt_for_ebill_registration_yes_hindi"
425,113,"opt_for_ebill_rajdhani",NULL
426,113,NULL,"action_opt_for_ebill_english"
427,113,"opt_for_ebill_no_update_email_rajdhani",NULL
428,113,NULL,"action_opt_for_ebill_ask_new_email_english"
429,113,"opt_for_ebill_email_rajdhani",NULL
430,113,NULL,"action_opt_for_ebill_email_english"
431,113,"opt_for_ebill_yes_rajdhani",NULL
432,113,NULL,"action_opt_for_ebill_registration_yes_english"
433,114,"opt_for_ebill_rajdhani_hindi",NULL
434,114,NULL,"action_opt_for_ebill_hindi"
435,114,"opt_for_ebill_no_update_email_rajdhani_hindi",NULL
436,114,NULL,"action_opt_for_ebill_ask_new_email_hindi"
437,114,"opt_for_ebill_email_rajdhani",NULL
438,114,NULL,"action_opt_for_ebill_email_hindi"
439,114,"opt_for_ebill_yes_rajdhani_hindi",NULL
440,114,NULL,"action_opt_for_ebill_registration_yes_hindi"
441,115,"opt_for_ebill_yamuna",NULL
442,115,NULL,"action_opt_for_ebill_english"
443,115,"opt_for_ebill_no_update_email_yamuna",NULL
444,115,NULL,"action_opt_for_ebill_ask_new_email_english"
445,115,"opt_for_ebill_email_yamuna",NULL
446,115,NULL,"action_opt_for_ebill_email_english"
447,115,"opt_for_ebill_yes_yamuna",NULL
448,115,NULL,"action_opt_for_ebill_registration_yes_english"
449,116,"opt_for_ebill_yamuna_hindi",NULL
450,116,NULL,"action_opt_for_ebill_hindi"
451,116,"opt_for_ebill_no_update_email_yamuna_hindi",NULL
452,116,NULL,"action_opt_for_ebill_ask_new_email_hindi"
453,116,"opt_for_ebill_email_yamuna",NULL
454,116,NULL,"action_opt_for_ebill_email_hindi"
455,116,"opt_for_ebill_yes_yamuna_hindi",NULL
456,116,NULL,"action_opt_for_ebill_registration_yes_hindi"
457,117,"opt_for_ebill_rajdhani",NULL
458,117,NULL,"action_opt_for_ebill_english"
459,117,"opt_for_ebill_email_rajdhani",NULL
460,117,NULL,"action_opt_for_ebill_email_english"
461,117,"opt_for_ebill_no_rajdhani",NULL
462,117,NULL,"action_opt_for_ebill_registration_no_english"
463,118,"opt_for_ebill_rajdhani_hindi",NULL
464,118,NULL,"action_opt_for_ebill_hindi"
465,118,"opt_for_ebill_email_rajdhani",NULL
466,118,NULL,"action_opt_for_ebill_email_hindi"
467,118,"opt_for_ebill_no_rajdhani_hindi",NULL
468,118,NULL,"action_opt_for_ebill_registration_no_hindi"
469,119,"opt_for_ebill_yamuna",NULL
470,119,NULL,"action_opt_for_ebill_english"
471,119,"opt_for_ebill_email_yamuna",NULL
472,119,NULL,"action_opt_for_ebill_email_english"
473,119,"opt_for_ebill_no_yamuna",NULL
474,119,NULL,"action_opt_for_ebill_registration_no_english"
475,120,"opt_for_ebill_yamuna_hindi",NULL
476,120,NULL,"action_opt_for_ebill_hindi"
477,120,"opt_for_ebill_email_yamuna",NULL
478,120,NULL,"action_opt_for_ebill_email_hindi"
479,120,"opt_for_ebill_no_yamuna_hindi",NULL
480,120,NULL,"action_opt_for_ebill_registration_no_hindi"
481,121,"opt_for_ebill_rajdhani",NULL
482,121,NULL,"action_opt_for_ebill_english"
483,121,"opt_for_ebill_yes_rajdhani",NULL
484,121,NULL,"action_opt_for_ebill_existing_email_english"
485,121,"opt_for_ebill_no_rajdhani",NULL
486,121,NULL,"action_opt_for_ebill_registration_no_english"
487,122,"opt_for_ebill_rajdhani_hindi",NULL
488,122,NULL,"action_opt_for_ebill_hindi"
489,122,"opt_for_ebill_yes_rajdhani_hindi",NULL
490,122,NULL,"action_opt_for_ebill_existing_email_hindi"
491,122,"opt_for_ebill_no_rajdhani_hindi",NULL
492,122,NULL,"action_opt_for_ebill_registration_no_hindi"
493,123,"opt_for_ebill_yamuna",NULL
494,123,NULL,"action_opt_for_ebill_english"
495,123,"opt_for_ebill_yes_yamuna",NULL
496,123,NULL,"action_opt_for_ebill_existing_email_english"
497,123,"opt_for_ebill_no_yamuna",NULL
498,123,NULL,"action_opt_for_ebill_registration_no_english"
499,124,"opt_for_ebill_yamuna_hindi",NULL
500,124,NULL,"action_opt_for_ebill_hindi"
501,124,"opt_for_ebill_yes_yamuna_hindi",NULL
502,124,NULL,"action_opt_for_ebill_existing_email_hindi"
503,124,"opt_for_ebill_no_yamuna_hindi",NULL
504,124,NULL,"action_opt_for_ebill_registration_no_hindi"
505,125,"opt_for_ebill_rajdhani",NULL
506,125,NULL,"action_opt_for_ebill_english"
507,125,"opt_for_ebill_no_update_email_rajdhani",NULL
508,125,NULL,"action_opt_for_ebill_ask_new_email_english"
509,125,"opt_for_ebill_email_rajdhani",NULL
510,125,NULL,"action_opt_for_ebill_email_english"
511,125,"opt_for_ebill_no_rajdhani",NULL
512,125,NULL,"action_opt_for_ebill_registration_no_english"
513,126,"opt_for_ebill_rajdhani_hindi",NULL
514,126,NULL,"action_opt_for_ebill_hindi"
515,126,"opt_for_ebill_no_update_email_rajdhani_hindi",NULL
516,126,NULL,"action_opt_for_ebill_ask_new_email_hindi"
517,126,"opt_for_ebill_email_rajdhani",NULL
518,126,NULL,"action_opt_for_ebill_email_hindi"
519,126,"opt_for_ebill_no_rajdhani_hindi",NULL
520,126,NULL,"action_opt_for_ebill_registration_no_hindi"
521,127,"opt_for_ebill_yamuna",NULL
522,127,NULL,"action_opt_for_ebill_english"
523,127,"opt_for_ebill_no_update_email_yamuna",NULL
524,127,NULL,"action_opt_for_ebill_ask_new_email_english"
525,127,"opt_for_ebill_email_yamuna",NULL
526,127,NULL,"action_opt_for_ebill_email_english"
527,127,"opt_for_ebill_no_yamuna",NULL
528,127,NULL,"action_opt_for_ebill_registration_no_english"
529,128,"opt_for_ebill_yamuna_hindi",NULL
530,128,NULL,"action_opt_for_ebill_hindi"
531,128,"opt_for_ebill_no_update_email_yamuna_hindi",NULL
532,128,NULL,"action_opt_for_ebill_ask_new_email_hindi"
533,128,"opt_for_ebill_email_yamuna",NULL
534,128,NULL,"action_opt_for_ebill_email_hindi"
535,128,"opt_for_ebill_no_yamuna_hindi",NULL
536,128,NULL,"action_opt_for_ebill_registration_no_hindi"
537,129,"complaint_status_english_rajdhani",NULL
538,129,NULL,"action_complaint_status_english"
539,130,"complaint_status_hindi_rajdhani",NULL
540,130,NULL,"action_complaint_status_hindi"
541,131,"complaint_status_english_yamuna",NULL
542,131,NULL,"action_complaint_status_english"
543,132,"complaint_status_hindi_yamuna",NULL
544,132,NULL,"action_complaint_status_hindi"
545,133,"register_complaint_english_rajdhani",NULL
546,133,NULL,"action_register_complaint_english"
547,133,"no_current_complaint_english_rajdhani",NULL
548,133,NULL,"action_no_current_complaint_english"
549,133,"register_complaint_yes_rajdhani",NULL
550,133,NULL,"action_no_current_complaint_register_english"
551,134,"register_complaint_hindi_rajdhani",NULL
552,134,NULL,"action_register_complaint_hindi"
553,134,"no_current_complaint_hindi_rajdhani",NULL
554,134,NULL,"action_no_current_complaint_hindi"
555,134,"register_complaint_yes_hindi_rajdhani",NULL
556,134,NULL,"action_no_current_complaint_register_hindi"
557,135,"register_complaint_english_rajdhani",NULL
558,135,NULL,"action_register_complaint_english"
559,135,"no_current_complaint_english_rajdhani",NULL
560,135,NULL,"action_no_current_complaint_english"
561,135,"register_complaint_no_rajdhani",NULL
562,135,NULL,"action_do_not_register_no_current_complaint_register_english"
563,136,"register_complaint_hindi_rajdhani",NULL
564,136,NULL,"action_register_complaint_hindi"
565,136,"no_current_complaint_hindi_rajdhani",NULL
566,136,NULL,"action_no_current_complaint_hindi"
567,136,"register_complaint_no_hindi_rajdhani",NULL
568,136,NULL,"action_do_not_register_no_current_complaint_register_hindi"
569,137,"register_complaint_english_yamuna",NULL
570,137,NULL,"action_register_complaint_english"
571,137,"no_current_complaint_english_yamuna",NULL
572,137,NULL,"action_no_current_complaint_english"
573,137,"register_complaint_yes_yamuna",NULL
574,137,NULL,"action_no_current_complaint_register_english"
575,138,"register_complaint_hindi_yamuna",NULL
576,138,NULL,"action_register_complaint_hindi"
577,138,"no_current_complaint_hindi_yamuna",NULL
